Archivo: ../pos/10000_8.txt, Es: Positivo, Negative: 8, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 4, Suma: -7
Archivo: ../pos/10024_9.txt, Es: Positivo, Negative: 9, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -5
Archivo: ../pos/10025_9.txt, Es: Positivo, Negative: 1, Positive: 4, Very negative: 0, Very positive: 4, Neutral: 2, Suma: 11
Archivo: ../pos/10026_7.txt, Es: Positivo, Negative: 4, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 2, Suma: -1
Archivo: ../pos/10027_7.txt, Es: Positivo, Negative: 8, Positive: 3, Very negative: 1, Very positive: 1, Neutral: 0, Suma: -5
Archivo: ../pos/10028_10.txt, Es: Positivo, Negative: 4, Positive: 6, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 2
Archivo: ../pos/10029_10.txt, Es: Positivo, Negative: 5, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 1, Suma: -2
Archivo: ../pos/1002_7.txt, Es: Positivo, Negative: 6, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 4, Suma: -4
Archivo: ../pos/10030_10.txt, Es: Positivo, Negative: 17, Positive: 9, Very negative: 0, Very positive: 2, Neutral: 6, Suma: -4
Archivo: ../pos/10031_10.txt, Es: Positivo, Negative: 18, Positive: 4, Very negative: 1, Very positive: 0, Neutral: 1, Suma: -16
Archivo: ../pos/10032_10.txt, Es: Positivo, Negative: 1, Positive: 2, Very negative: 0, Very positive: 2, Neutral: 0, Suma: 5
Archivo: ../pos/10033_10.txt, Es: Positivo, Negative: 9, Positive: 9, Very negative: 1, Very positive: 2, Neutral: 7, Suma: 2
Archivo: ../pos/10034_8.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 0, Very positive: 3, Neutral: 4, Suma: 8
Archivo: ../pos/10035_9.txt, Es: Positivo, Negative: 8, Positive: 9, Very negative: 1, Very positive: 0, Neutral: 5, Suma: -1
Archivo: ../pos/10036_8.txt, Es: Positivo, Negative: 3, Positive: 7, Very negative: 0, Very positive: 2, Neutral: 1, Suma: 8
Archivo: ../pos/10037_9.txt, Es: Positivo, Negative: 3, Positive: 7, Very negative: 0, Very positive: 2, Neutral: 0, Suma: 8
Archivo: ../pos/10038_10.txt, Es: Positivo, Negative: 9, Positive: 8, Very negative: 3, Very positive: 0, Neutral: 2, Suma: -7
Archivo: ../pos/10039_10.txt, Es: Positivo, Negative: 6, Positive: 4, Very negative: 1, Very positive: 1, Neutral: 5, Suma: -2
Archivo: ../pos/1003_10.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 1
Archivo: ../pos/10040_10.txt, Es: Positivo, Negative: 5, Positive: 7, Very negative: 0, Very positive: 3, Neutral: 1, Suma: 8
Archivo: ../pos/10041_10.txt, Es: Positivo, Negative: 21, Positive: 10, Very negative: 0, Very positive: 2, Neutral: 4, Suma: -7
Archivo: ../pos/10042_10.txt, Es: Positivo, Negative: 0, Positive: 0, Very negative: 2, Very positive: 1, Neutral: 0, Suma: -2
Archivo: ../pos/10043_10.txt, Es: Positivo, Negative: 2, Positive: 3, Very negative: 1, Very positive: 0, Neutral: 0, Suma: -1
Archivo: ../pos/10044_9.txt, Es: Positivo, Negative: 44, Positive: 19, Very negative: 1, Very positive: 2, Neutral: 10, Suma: -23
Archivo: ../pos/10045_10.txt, Es: Positivo, Negative: 15, Positive: 9, Very negative: 0, Very positive: 1, Neutral: 5, Suma: -4
Archivo: ../pos/10046_9.txt, Es: Positivo, Negative: 11, Positive: 14, Very negative: 1, Very positive: 3, Neutral: 14, Suma: 7
Archivo: ../pos/10047_10.txt, Es: Positivo, Negative: 7, Positive: 3, Very negative: 1, Very positive: 1, Neutral: 0, Suma: -4
Archivo: ../pos/10048_10.txt, Es: Positivo, Negative: 20, Positive: 13, Very negative: 1, Very positive: 1, Neutral: 8, Suma: -7
Archivo: ../pos/10049_8.txt, Es: Positivo, Negative: 5, Positive: 9, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 4
Archivo: ../pos/1004_7.txt, Es: Positivo, Negative: 19, Positive: 10, Very negative: 0, Very positive: 0, Neutral: 5, Suma: -9
Archivo: ../pos/10050_10.txt, Es: Positivo, Negative: 5, Positive: 6, Very negative: 0, Very positive: 1, Neutral: 3, Suma: 3
Archivo: ../pos/10051_10.txt, Es: Positivo, Negative: 0, Positive: 5, Very negative: 0, Very positive: 2, Neutral: 1, Suma: 9
Archivo: ../pos/10052_10.txt, Es: Positivo, Negative: 1, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 1
Archivo: ../pos/10053_8.txt, Es: Positivo, Negative: 10, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 5, Suma: -5
Archivo: ../pos/10054_10.txt, Es: Positivo, Negative: 1, Positive: 10, Very negative: 0, Very positive: 1, Neutral: 4, Suma: 11
Archivo: ../pos/10055_7.txt, Es: Positivo, Negative: 0, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 1
Archivo: ../pos/10056_8.txt, Es: Positivo, Negative: 1, Positive: 4, Very negative: 0, Very positive: 2, Neutral: 1, Suma: 7
Archivo: ../pos/10057_9.txt, Es: Positivo, Negative: 5, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 2, Suma: 0
Archivo: ../pos/10058_7.txt, Es: Positivo, Negative: 7, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 1, Suma: -1
Archivo: ../pos/10059_10.txt, Es: Positivo, Negative: 5, Positive: 8, Very negative: 0, Very positive: 2, Neutral: 0, Suma: 7
Archivo: ../pos/1005_10.txt, Es: Positivo, Negative: 4, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -3
Archivo: ../pos/10060_9.txt, Es: Positivo, Negative: 4, Positive: 10, Very negative: 0, Very positive: 2, Neutral: 4, Suma: 10
Archivo: ../pos/10061_8.txt, Es: Positivo, Negative: 3, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 3
Archivo: ../pos/10062_10.txt, Es: Positivo, Negative: 1, Positive: 3, Very negative: 0, Very positive: 3, Neutral: 0, Suma: 8
Archivo: ../pos/10063_9.txt, Es: Positivo, Negative: 0, Positive: 8, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 8
Archivo: ../pos/10064_10.txt, Es: Positivo, Negative: 4, Positive: 5, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 3
Archivo: ../pos/10065_9.txt, Es: Positivo, Negative: 6, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 0, Suma: -2
Archivo: ../pos/10066_10.txt, Es: Positivo, Negative: 5, Positive: 2, Very negative: 1, Very positive: 3, Neutral: 0, Suma: 1
Archivo: ../pos/10067_9.txt, Es: Positivo, Negative: 0, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 3
Archivo: ../pos/10068_8.txt, Es: Positivo, Negative: 2, Positive: 2, Very negative: 0, Very positive: 4, Neutral: 1, Suma: 8
Archivo: ../pos/10069_8.txt, Es: Positivo, Negative: 2, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 0
Archivo: ../pos/1006_8.txt, Es: Positivo, Negative: 8, Positive: 7, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -1
Archivo: ../pos/10070_9.txt, Es: Positivo, Negative: 2, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 0
Archivo: ../pos/10071_9.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 1, Very positive: 0, Neutral: 1, Suma: 0
Archivo: ../pos/10072_9.txt, Es: Positivo, Negative: 1, Positive: 5, Very negative: 0, Very positive: 1, Neutral: 2, Suma: 6
Archivo: ../pos/10073_10.txt, Es: Positivo, Negative: 3, Positive: 3, Very negative: 0, Very positive: 3, Neutral: 2, Suma: 6
Archivo: ../pos/10074_9.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 1, Very positive: 0, Neutral: 1, Suma: -4
Archivo: ../pos/10075_9.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 4
Archivo: ../pos/10076_9.txt, Es: Positivo, Negative: 0, Positive: 2, Very negative: 0, Very positive: 2, Neutral: 0, Suma: 6
Archivo: ../pos/10077_10.txt, Es: Positivo, Negative: 1, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 3
Archivo: ../pos/10078_8.txt, Es: Positivo, Negative: 8, Positive: 10, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 2
Archivo: ../pos/10079_8.txt, Es: Positivo, Negative: 2, Positive: 2, Very negative: 0, Very positive: 3, Neutral: 1, Suma: 6
Archivo: ../pos/1007_10.txt, Es: Positivo, Negative: 7, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -3
Archivo: ../pos/10080_10.txt, Es: Positivo, Negative: 2, Positive: 1, Very negative: 1, Very positive: 0, Neutral: 0, Suma: -3
Archivo: ../pos/10081_9.txt, Es: Positivo, Negative: 4, Positive: 6, Very negative: 0, Very positive: 3, Neutral: 0, Suma: 8
Archivo: ../pos/10082_10.txt, Es: Positivo, Negative: 2, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 2
Archivo: ../pos/10083_7.txt, Es: Positivo, Negative: 7, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -4
Archivo: ../pos/10084_10.txt, Es: Positivo, Negative: 3, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 2
Archivo: ../pos/10085_10.txt, Es: Positivo, Negative: 4, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 2, Suma: 0
Archivo: ../pos/10086_7.txt, Es: Positivo, Negative: 2, Positive: 1, Very negative: 0, Very positive: 2, Neutral: 0, Suma: 3
Archivo: ../pos/10087_10.txt, Es: Positivo, Negative: 1, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 1
Archivo: ../pos/10088_10.txt, Es: Positivo, Negative: 4, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 1, Suma: -1
Archivo: ../pos/10089_7.txt, Es: Positivo, Negative: 3, Positive: 1, Very negative: 1, Very positive: 0, Neutral: 0, Suma: -4
Archivo: ../pos/1008_10.txt, Es: Positivo, Negative: 3, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 0
Archivo: ../pos/10090_8.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -2
Archivo: ../pos/10091_7.txt, Es: Positivo, Negative: 5, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 0, Suma: -1
Archivo: ../pos/10092_8.txt, Es: Positivo, Negative: 2, Positive: 0, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 0
Archivo: ../pos/10093_7.txt, Es: Positivo, Negative: 2, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 1
Archivo: ../pos/10094_7.txt, Es: Positivo, Negative: 6, Positive: 5, Very negative: 2, Very positive: 1, Neutral: 3, Suma: -3
Archivo: ../pos/10095_7.txt, Es: Positivo, Negative: 6, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 1, Suma: -3
Archivo: ../pos/10096_7.txt, Es: Positivo, Negative: 0, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 1
Archivo: ../pos/10097_9.txt, Es: Positivo, Negative: 7, Positive: 3, Very negative: 1, Very positive: 1, Neutral: 0, Suma: -4
Archivo: ../pos/10098_10.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -2
Archivo: ../pos/10099_10.txt, Es: Positivo, Negative: 12, Positive: 2, Very negative: 1, Very positive: 0, Neutral: 1, Suma: -12
Archivo: ../pos/1009_8.txt, Es: Positivo, Negative: 8, Positive: 3, Very negative: 1, Very positive: 0, Neutral: 1, Suma: -7
Archivo: ../pos/100_7.txt, Es: Positivo, Negative: 8, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -3
Archivo: ../pos/10100_10.txt, Es: Positivo, Negative: 8, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 4, Suma: -7
Archivo: ../pos/10101_8.txt, Es: Positivo, Negative: 3, Positive: 0, Very negative: 0, Very positive: 1, Neutral: 0, Suma: -1
Archivo: ../pos/10102_7.txt, Es: Positivo, Negative: 3, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 2
Archivo: ../pos/10103_8.txt, Es: Positivo, Negative: 3, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 2, Suma: 0
Archivo: ../pos/10104_10.txt, Es: Positivo, Negative: 8, Positive: 6, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 0
Archivo: ../pos/10105_8.txt, Es: Positivo, Negative: 11, Positive: 6, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -5
Archivo: ../pos/10106_8.txt, Es: Positivo, Negative: 8, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 0, Suma: -5
Archivo: ../pos/10107_8.txt, Es: Positivo, Negative: 10, Positive: 9, Very negative: 0, Very positive: 1, Neutral: 3, Suma: 1
Archivo: ../pos/10108_10.txt, Es: Positivo, Negative: 9, Positive: 6, Very negative: 0, Very positive: 1, Neutral: 0, Suma: -1
Archivo: ../pos/10109_10.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 0, Very positive: 3, Neutral: 1, Suma: 5
Archivo: ../pos/1010_10.txt, Es: Positivo, Negative: 3, Positive: 8, Very negative: 0, Very positive: 1, Neutral: 2, Suma: 7
Archivo: ../pos/10110_10.txt, Es: Positivo, Negative: 6, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 5, Suma: -4
Archivo: ../pos/10111_7.txt, Es: Positivo, Negative: 2, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 2, Suma: 0
Archivo: ../pos/10112_7.txt, Es: Positivo, Negative: 12, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -9
Archivo: ../pos/10113_10.txt, Es: Positivo, Negative: 3, Positive: 9, Very negative: 0, Very positive: 4, Neutral: 2, Suma: 14
Archivo: ../pos/10114_10.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 2
Archivo: ../pos/10115_10.txt, Es: Positivo, Negative: 3, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 3
Archivo: ../pos/10116_10.txt, Es: Positivo, Negative: 3, Positive: 1, Very negative: 0, Very positive: 2, Neutral: 0, Suma: 2
Archivo: ../pos/10117_8.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 4
Archivo: ../pos/10118_7.txt, Es: Positivo, Negative: 5, Positive: 1, Very negative: 1, Very positive: 0, Neutral: 0, Suma: -6
Archivo: ../pos/10119_7.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -2
Archivo: ../pos/1011_10.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 3, Suma: 0
Archivo: ../pos/10120_7.txt, Es: Positivo, Negative: 8, Positive: 2, Very negative: 1, Very positive: 0, Neutral: 1, Suma: -8
Archivo: ../pos/10121_8.txt, Es: Positivo, Negative: 5, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 2, Suma: -1
Archivo: ../pos/10122_7.txt, Es: Positivo, Negative: 5, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -3
Archivo: ../pos/10123_10.txt, Es: Positivo, Negative: 7, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -3
Archivo: ../pos/10124_8.txt, Es: Positivo, Negative: 10, Positive: 4, Very negative: 1, Very positive: 1, Neutral: 0, Suma: -6
Archivo: ../pos/10125_8.txt, Es: Positivo, Negative: 4, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 2, Suma: 1
Archivo: ../pos/10126_10.txt, Es: Positivo, Negative: 9, Positive: 3, Very negative: 0, Very positive: 2, Neutral: 0, Suma: -2
Archivo: ../pos/10127_8.txt, Es: Positivo, Negative: 6, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -5
Archivo: ../pos/10128_9.txt, Es: Positivo, Negative: 4, Positive: 3, Very negative: 3, Very positive: 1, Neutral: 4, Suma: -5
Archivo: ../pos/10129_7.txt, Es: Positivo, Negative: 3, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 1
Archivo: ../pos/1012_10.txt, Es: Positivo, Negative: 8, Positive: 4, Very negative: 1, Very positive: 0, Neutral: 0, Suma: -6
Archivo: ../pos/10130_10.txt, Es: Positivo, Negative: 3, Positive: 3, Very negative: 0, Very positive: 2, Neutral: 1, Suma: 4
Archivo: ../pos/10131_10.txt, Es: Positivo, Negative: 3, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 0
Archivo: ../pos/10132_9.txt, Es: Positivo, Negative: 5, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -4
Archivo: ../pos/10133_7.txt, Es: Positivo, Negative: 5, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -3
Archivo: ../pos/10134_7.txt, Es: Positivo, Negative: 12, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -8
Archivo: ../pos/10135_7.txt, Es: Positivo, Negative: 5, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -3
Archivo: ../pos/10136_7.txt, Es: Positivo, Negative: 4, Positive: 1, Very negative: 1, Very positive: 0, Neutral: 0, Suma: -5
Archivo: ../pos/10137_7.txt, Es: Positivo, Negative: 11, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -8
Archivo: ../pos/10138_8.txt, Es: Positivo, Negative: 7, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 4, Suma: -3
Archivo: ../pos/10139_8.txt, Es: Positivo, Negative: 9, Positive: 10, Very negative: 0, Very positive: 1, Neutral: 5, Suma: 3
Archivo: ../pos/1013_9.txt, Es: Positivo, Negative: 13, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -10
Archivo: ../pos/10140_8.txt, Es: Positivo, Negative: 8, Positive: 3, Very negative: 1, Very positive: 1, Neutral: 2, Suma: -5
Archivo: ../pos/10141_9.txt, Es: Positivo, Negative: 4, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 2, Suma: 1
Archivo: ../pos/10142_8.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 2, Suma: 1
Archivo: ../pos/10143_8.txt, Es: Positivo, Negative: 5, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 2, Suma: 0
Archivo: ../pos/10144_8.txt, Es: Positivo, Negative: 2, Positive: 5, Very negative: 0, Very positive: 2, Neutral: 0, Suma: 7
Archivo: ../pos/10145_8.txt, Es: Positivo, Negative: 2, Positive: 3, Very negative: 0, Very positive: 3, Neutral: 3, Suma: 7
Archivo: ../pos/10146_7.txt, Es: Positivo, Negative: 3, Positive: 6, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 3
Archivo: ../pos/10147_10.txt, Es: Positivo, Negative: 9, Positive: 4, Very negative: 0, Very positive: 4, Neutral: 4, Suma: 3
Archivo: ../pos/10148_10.txt, Es: Positivo, Negative: 12, Positive: 6, Very negative: 0, Very positive: 1, Neutral: 0, Suma: -4
Archivo: ../pos/10149_9.txt, Es: Positivo, Negative: 4, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -3
Archivo: ../pos/1014_9.txt, Es: Positivo, Negative: 4, Positive: 8, Very negative: 0, Very positive: 3, Neutral: 1, Suma: 10
Archivo: ../pos/10150_9.txt, Es: Positivo, Negative: 7, Positive: 7, Very negative: 0, Very positive: 1, Neutral: 4, Suma: 2
Archivo: ../pos/10151_8.txt, Es: Positivo, Negative: 1, Positive: 6, Very negative: 0, Very positive: 0, Neutral: 4, Suma: 5
Archivo: ../pos/10152_9.txt, Es: Positivo, Negative: 4, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -1
Archivo: ../pos/10153_9.txt, Es: Positivo, Negative: 2, Positive: 7, Very negative: 0, Very positive: 1, Neutral: 4, Suma: 7
Archivo: ../pos/10154_8.txt, Es: Positivo, Negative: 1, Positive: 1, Very negative: 1, Very positive: 1, Neutral: 0, Suma: 0
Archivo: ../pos/10155_9.txt, Es: Positivo, Negative: 3, Positive: 5, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 4
Archivo: ../pos/10156_10.txt, Es: Positivo, Negative: 1, Positive: 0, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 1
Archivo: ../pos/10157_10.txt, Es: Positivo, Negative: 0, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 3
Archivo: ../pos/10158_7.txt, Es: Positivo, Negative: 5, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -1
Archivo: ../pos/10159_7.txt, Es: Positivo, Negative: 3, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 0
Archivo: ../pos/1015_10.txt, Es: Positivo, Negative: 2, Positive: 6, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 4
Archivo: ../pos/10160_7.txt, Es: Positivo, Negative: 3, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 2
Archivo: ../pos/10161_9.txt, Es: Positivo, Negative: 9, Positive: 8, Very negative: 0, Very positive: 1, Neutral: 3, Suma: 1
Archivo: ../pos/10162_9.txt, Es: Positivo, Negative: 7, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 4, Suma: -3
Archivo: ../pos/10163_8.txt, Es: Positivo, Negative: 3, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 1
Archivo: ../pos/10164_7.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 0, Very positive: 4, Neutral: 0, Suma: 10
Archivo: ../pos/10165_7.txt, Es: Positivo, Negative: 2, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 0
Archivo: ../pos/10166_7.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -2
Archivo: ../pos/10167_7.txt, Es: Positivo, Negative: 7, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -4
Archivo: ../pos/10168_8.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 2, Suma: 4
Archivo: ../pos/10169_7.txt, Es: Positivo, Negative: 2, Positive: 0, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -2
Archivo: ../pos/1016_8.txt, Es: Positivo, Negative: 4, Positive: 1, Very negative: 1, Very positive: 0, Neutral: 0, Suma: -5
Archivo: ../pos/10170_8.txt, Es: Positivo, Negative: 1, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 4
Archivo: ../pos/10171_7.txt, Es: Positivo, Negative: 8, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -7
Archivo: ../pos/10172_8.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 1
Archivo: ../pos/10173_8.txt, Es: Positivo, Negative: 9, Positive: 8, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -1
Archivo: ../pos/10174_7.txt, Es: Positivo, Negative: 5, Positive: 8, Very negative: 1, Very positive: 0, Neutral: 4, Suma: 1
Archivo: ../pos/10175_10.txt, Es: Positivo, Negative: 2, Positive: 7, Very negative: 0, Very positive: 0, Neutral: 2, Suma: 5
Archivo: ../pos/10176_7.txt, Es: Positivo, Negative: 12, Positive: 3, Very negative: 1, Very positive: 1, Neutral: 3, Suma: -9
Archivo: ../pos/10177_9.txt, Es: Positivo, Negative: 12, Positive: 8, Very negative: 0, Very positive: 1, Neutral: 2, Suma: -2
